Codigo,Estudiante,Grado,Plan,Matematicas,Fisica,Ingles,Computacion,Arte
601,Carlos Salazar,1 Basico,Diario,78,60,51,78,98
602,Benjamin Torres,1 Basico,Diario ,80,78,78,100,87
,Leticia Alvarado,1 Basico,Diario,75,78,40,41,33
,Marcos Merida,2 Basico,Diario,96,90,30,63,80
,Juan Monzon,2 Basico,Diario,50,49,38,61,96
,Fernando Coronado,2 Basico,Fin de semana,90,96,45,80,80
,Victoria Cifuentes,3 Basico,Fin de semana,81,51,79,70,80
,Manuel Casas,3 Basico,Fin de semana,40,45,33,70,70
,Julian Ruiz,3 Basico,Fin de semana,79,70,79,70,89
,Carmen Martinez,3 Basico,Fin de semana,70,80,81,69,12
,Flor Lopez, 3 Basico, Fin de semana, 74,70,75,79,90
,Camila Ortiz, 3 Basico, Fin de semana, 80,70,90,40,90
,3D, 3 Basico, Fin de semana, 80,70,90,40,90
,Cristian Mazariegos, 1 Basico, Fin de semana, 90,60,90,80,70
